City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Georgetown,MY,5.4112,100.3354,89.6,55,20,12.66,few clouds
Touba,CI,8.2833,-7.6833,74.91,80,100,7.67,overcast clouds
Mataura,NZ,-46.1927,168.8643,55.99,80,0,1.01,clear sky
Saint-Philippe,RE,-21.3585,55.7679,84.2,65,20,19.57,few clouds
Pochutla,MX,15.7432,-96.4661,70,83,0,2.89,clear sky
Dongzhen,CN,22.3797,110.9389,89.01,66,83,12.06,broken clouds
Vila Velha,BR,-20.3297,-40.2925,78.01,94,0,1.14,clear sky
Bredasdorp,ZA,-34.5322,20.0403,75.2,57,20,5.75,few clouds
Saskylakh,RU,71.9167,114.0833,-16.87,92,100,5.77,overcast clouds
Esperance,AU,-33.8667,121.9,89.6,22,0,17.27,clear sky
Dikson,RU,73.5069,80.5464,-7.06,91,100,10.6,overcast clouds
Ulcinj,ME,41.9294,19.2244,51.8,28,20,9.22,few clouds
Hovd,MN,48.0056,91.6419,26.46,36,23,6.89,few clouds
Faanui,PF,-16.4833,-151.75,82.36,73,0,9.28,clear sky
Yellowknife,CA,62.456,-114.3525,21.2,73,20,6.91,few clouds
Esso,RU,55.9333,158.7,17.83,93,18,3.18,few clouds
Port Elizabeth,ZA,-33.918,25.5701,73.4,83,75,10.36,broken clouds
Hobart,AU,-42.8794,147.3294,64.4,63,20,14.97,few clouds
Vestmannaeyjar,IS,63.4427,-20.2734,46.4,100,90,10.36,drizzle
Hermanus,ZA,-34.4187,19.2345,75,69,0,1.01,clear sky
Saint-Leu,RE,-21.15,55.2833,84.2,65,20,19.57,few clouds
Pangnirtung,CA,66.1451,-65.7125,-19.93,72,0,1.77,clear sky
Port Alfred,ZA,-33.5906,26.891,75.96,77,77,18.9,broken clouds
Nikolskoye,RU,59.7035,30.7861,30.2,74,90,11.18,overcast clouds
Iqaluit,CA,63.7506,-68.5145,-20,69,20,2.3,few clouds
Upernavik,GL,72.7868,-56.1549,-7.85,96,100,12.15,overcast clouds
Airai,TL,-8.9266,125.4092,66.27,92,89,1.32,light rain
Rikitea,PF,-23.1203,-134.9692,74.55,88,100,16.04,moderate rain
Catia La Mar,VE,10.6038,-67.0303,66,89,91,9.22,overcast clouds
Ushuaia,AR,-54.8,-68.3,46.4,81,40,4.61,scattered clouds
Lavrentiya,RU,65.5833,-171,-12.96,81,11,6.98,few clouds
Mount Gambier,AU,-37.8333,140.7667,73.4,49,0,12.66,clear sky
