City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
1,Touba,CI,74.91,overcast clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
3,Saint-Philippe,RE,84.2,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
4,Pochutla,MX,70.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
5,Dongzhen,CN,89.01,broken clouds,22.3797,110.9389,茂名中汇时尚酒店
6,Vila Velha,BR,78.01,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
7,Bredasdorp,ZA,75.2,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
9,Esperance,AU,89.6,clear sky,-33.8667,121.9,Hospitality Esperance
13,Faanui,PF,82.36,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
16,Port Elizabeth,ZA,73.4,broken clouds,-33.918,25.5701,39 On Nile Guest House
19,Hermanus,ZA,75.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
20,Saint-Leu,RE,84.2,few clouds,-21.15,55.2833,La Caz Oceane
22,Port Alfred,ZA,75.96,broken clouds,-33.5906,26.891,The Halyards Hotel
27,Rikitea,PF,74.55,moderate rain,-23.1203,-134.9692,Pension Maro'i
31,Mount Gambier,AU,73.4,clear sky,-37.8333,140.7667,Commodore on the Park
33,Carnarvon,AU,87.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
35,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
40,Cape Town,ZA,71.01,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
41,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
44,Arraial Do Cabo,BR,75.29,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Hukuntsi,BW,82.56,clear sky,-24.0,21.75,Entabeni Hotel
50,Da Nang,VN,84.2,few clouds,16.0678,108.2208,Sun River Hotel
55,Port Blair,IN,86.32,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
63,Saint Pete Beach,US,72.0,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
64,Ambilobe,MG,88.93,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
70,Labuhan,ID,84.42,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
71,Kavaratti,IN,83.44,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
75,Caravelas,BR,72.18,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
77,Mount Darwin,ZW,79.0,scattered clouds,-16.7725,31.5838,
78,Puerto Ayora,EC,73.0,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
84,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
85,Alice Springs,AU,82.4,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
87,Ambositra,MG,73.87,broken clouds,-20.5167,47.25,Grand Hôtel
88,Cayenne,GF,78.01,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
93,Busselton,AU,86.0,scattered clouds,-33.65,115.3333,Observatory Guest House
94,Atuona,PF,80.13,overcast clouds,-9.8,-139.0333,Villa Enata
96,Wattegama,LK,84.2,moderate rain,6.7989,81.4808,
97,Hithadhoo,MV,83.8,broken clouds,-0.6,73.0833,Scoop Guest House
101,East London,ZA,75.88,broken clouds,-33.0153,27.9116,Tu Casa
102,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
105,Edd,ER,92.48,broken clouds,13.9297,41.6925,
106,Maraba,BR,75.2,overcast clouds,-5.3686,-49.1178,Hotel Del Principe
112,Greytown,ZA,77.56,scattered clouds,-29.0642,30.5928,Lord Grey Guest House
117,Bosaso,SO,80.6,clear sky,11.2842,49.1816,Red Sea Hotel
