City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,89.6,55,20,12.66,few clouds
1,Touba,CI,8.2833,-7.6833,74.91,80,100,7.67,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,55.99,80,0,1.01,clear sky
3,Saint-Philippe,RE,-21.3585,55.7679,84.2,65,20,19.57,few clouds
4,Pochutla,MX,15.7432,-96.4661,70.0,83,0,2.89,clear sky
5,Dongzhen,CN,22.3797,110.9389,89.01,66,83,12.06,broken clouds
6,Vila Velha,BR,-20.3297,-40.2925,78.01,94,0,1.14,clear sky
7,Bredasdorp,ZA,-34.5322,20.0403,75.2,57,20,5.75,few clouds
8,Saskylakh,RU,71.9167,114.0833,-16.87,92,100,5.77,overcast clouds
9,Esperance,AU,-33.8667,121.9,89.6,22,0,17.27,clear sky
10,Dikson,RU,73.5069,80.5464,-7.06,91,100,10.6,overcast clouds
11,Ulcinj,ME,41.9294,19.2244,51.8,28,20,9.22,few clouds
12,Hovd,MN,48.0056,91.6419,26.46,36,23,6.89,few clouds
13,Faanui,PF,-16.4833,-151.75,82.36,73,0,9.28,clear sky
14,Yellowknife,CA,62.456,-114.3525,21.2,73,20,6.91,few clouds
15,Esso,RU,55.9333,158.7,17.83,93,18,3.18,few clouds
16,Port Elizabeth,ZA,-33.918,25.5701,73.4,83,75,10.36,broken clouds
17,Hobart,AU,-42.8794,147.3294,64.4,63,20,14.97,few clouds
18,Vestmannaeyjar,IS,63.4427,-20.2734,46.4,100,90,10.36,drizzle
19,Hermanus,ZA,-34.4187,19.2345,75.0,69,0,1.01,clear sky
20,Saint-Leu,RE,-21.15,55.2833,84.2,65,20,19.57,few clouds
21,Pangnirtung,CA,66.1451,-65.7125,-19.93,72,0,1.77,clear sky
22,Port Alfred,ZA,-33.5906,26.891,75.96,77,77,18.9,broken clouds
23,Nikolskoye,RU,59.7035,30.7861,30.2,74,90,11.18,overcast clouds
24,Iqaluit,CA,63.7506,-68.5145,-20.0,69,20,2.3,few clouds
25,Upernavik,GL,72.7868,-56.1549,-7.85,96,100,12.15,overcast clouds
26,Airai,TL,-8.9266,125.4092,66.27,92,89,1.32,light rain
27,Rikitea,PF,-23.1203,-134.9692,74.55,88,100,16.04,moderate rain
28,Catia La Mar,VE,10.6038,-67.0303,66.0,89,91,9.22,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,46.4,81,40,4.61,scattered clouds
30,Lavrentiya,RU,65.5833,-171.0,-12.96,81,11,6.98,few clouds
31,Mount Gambier,AU,-37.8333,140.7667,73.4,49,0,12.66,clear sky
32,Severo-Kurilsk,RU,50.6789,156.125,31.89,94,88,14.7,overcast clouds
33,Carnarvon,AU,-24.8667,113.6333,87.8,62,0,16.11,clear sky
34,Nikel,RU,69.4128,30.222,24.8,86,40,17.27,snow
35,Vaini,TO,-21.2,-175.2,75.2,94,20,2.3,few clouds
36,San Quintin,MX,30.4833,-115.95,54.0,86,0,8.57,clear sky
37,Cherskiy,RU,68.75,161.3,-13.02,82,52,3.87,broken clouds
38,Gilgit,PK,35.9221,74.3087,51.57,64,100,2.04,overcast clouds
